month,stop_id,stop_name,boardings,alightings
2023-10,785,Oakland & Academy,44,33
2023-10,788,Ransom & N. Park,972,973
2023-10,799,Rose & Walnut,0,9
2023-10,1004,Kalamazoo Transit Center,50606,45060
2023-10,1011,Kalamazoo Transit Center,2134,2521
2023-10,1062,E. Michigan & S. Pitcher,92,50
2023-10,1067,W. Michigan & Academy,150,135
2023-10,1079,Rose St & Butler,0,58
2023-10,1082,S Rose St & Vine,10,18
2023-10,1084,Lovell & S. Burdick,8,32
2023-11,1,Rose at Water (NW Corner),3128,2722
2023-11,2,Rose at Michigan (SW side),223,110
2023-11,3,Rose at South (SW Corner),130,152
2023-11,4,Lovell at St. Johns (NE Corner),8,11
2023-11,5,Westnedge at Lovell (SW side),197,100
2023-11,6,Westnedge at Walnut (NW corner),90,96
2023-11,7,Westnedge at Vine (NW Corner),622,494
2023-11,51,Park at W. Vine (SE Corner),366,490
2023-11,52,Park at 519 Walnut,99,168
2023-11,53,Park at Lovell (SE Corner),21,128
2023-11,54,Park at South (NE Corner),69,365
2023-11,96,Portage at Walnut (SE Corner),96,158
2023-11,137,Kalamazoo & Park Street,64,32
2023-11,182,Michigan &,52,228
2023-11,184,Rose & Water,44,487
2023-11,210,Burdick & North,14,10
2023-11,260,North & N. Park,29,171
2023-11,261,North & Westnedge,61,144
2023-11,262,North & Simpson,22,80
2023-11,263,North & Woodward,9,69
2023-11,264,North St & Hawley street,33,248
2023-11,295,North & Stewart/Hawley,136,24
2023-11,296,North & Woodward,26,19
2023-11,297,North & Simpson,51,19
2023-11,298,North & Westnedge,68,70
2023-11,299,Ransom & Church,71,206
2023-11,300,Ransom & N. Rose,0,6
2023-11,515,Rose & Vine,12,5
2023-11,516,Rose & Walnut,6,1
2023-11,517,Rose & South,56,135
2023-11,518,Walnut & Burdick,264,503
2023-11,562,Walnut & Burdick,465,126
2023-11,563,Kalamazoo & Greenwich,24,7
2023-11,564,Kalamazoo & Elm,49,66
2023-11,565,Kalamazoo & Stuart,56,88
2023-11,605,W. Main & Catherine,24,45
2023-11,606,W. Main & RR Tracks,43,197
2023-11,607,North & Park,4,24
2023-11,628,Lovell & Westnedge,177,138
2023-11,629,Lovell & Oak,96,145
2023-11,630,Lovell & Davis,63,70
2023-11,640,South & Oak,222,107
2023-11,641,South & Westnedge,1,52
2023-11,776,Portage at South (NW Corner),46,26
2023-11,785,Oakland & Academy,25,30
2023-11,788,Ransom & N. Park,761,821
2023-11,799,Rose & Walnut,0,2
2023-11,1004,Kalamazoo Transit Center,45735,42006
2023-11,1011,Kalamazoo Transit Center,2088,2493
2023-11,1062,E. Michigan & S. Pitcher,100,68
2023-11,1067,W. Michigan & Academy,168,143
2023-11,1079,Rose St & Butler,1,49
2023-11,1082,S Rose St & Vine,7,27
